curr_epoch train_cost train_ler val_cost val_ler
1 454.48534240722654 0.977035790681839 23.835756 1.125
2 190.60272216796875 0.9782141506671904 21.160395 1.125
3 163.68454055786137 0.98544060587883 15.758515 1.0
4 160.9302474975586 0.9911989033222198 17.078442 1.0
5 164.90524139404295 0.9930014491081237 14.343621 1.0
6 148.21768798828126 0.994818925857544 15.76774 1.0
7 152.4810348510742 0.9943125903606415 18.42485 1.0
8 161.61027526855472 0.9951881349086762 12.581924 1.0
9 134.43135681152344 0.9954348981380464 14.461479 1.0
10 138.97553634643555 0.9880229592323303 12.102585 1.0
11 130.95652084350587 0.9850570142269134 11.9790745 1.0
12 142.26241989135744 0.956691199541092 11.617902 1.0
13 109.42477493286134 0.9086259365081786 10.190781 1.0
14 96.47100067138672 0.8165439128875732 9.561537 1.0
15 94.63587951660156 0.7563149809837342 10.116173 1.0
16 97.01469764709472 0.6859700620174407 9.171139 1.0
17 108.60321807861327 0.6819925725460053 9.71298 0.96875
18 89.78687057495118 0.5994492769241332 9.453861 1.0
19 75.22211494445801 0.5410092890262603 8.380928 0.875
20 79.27980155944825 0.5398696720600128 8.991808 0.96875
21 72.31143836975097 0.4774937957525253 8.670326 0.96875
22 82.39015197753905 0.5133650571107864 6.7894907 0.84375
23 66.02775650024414 0.47513020932674405 7.6901917 0.9375
24 78.59546699523925 0.46020587980747224 8.95881 0.875
25 83.61121063232422 0.42474268972873686 6.8889036 0.84375
26 70.14799270629882 0.44476356506347664 7.6979313 0.8125
27 66.90046882629395 0.3842289745807648 8.2481575 1.09375
28 80.06389274597169 0.36242136657238 7.1602488 0.8125
29 53.23481788635254 0.3820089429616929 7.7427964 0.90625
30 71.2692024230957 0.37202797532081594 6.6458025 0.8125
31 57.06931266784668 0.37517761886119844 6.9156137 0.875
32 78.78187408447266 0.3384190142154694 7.287715 1.0
33 74.14411544799803 0.3491755247116089 6.404571 0.84375
34 71.64087867736816 0.32966780066490176 8.305325 0.875
35 61.19268302917481 0.3206013530492782 6.158608 0.71875
36 49.29379043579102 0.3255337506532669 6.286169 0.78125
37 58.48571891784668 0.307557126879692 6.5708885 0.9375
38 53.42236251831054 0.3373911619186402 5.5705476 0.84375
39 59.61118621826172 0.29814193248748777 5.998781 0.8125
40 49.424285316467284 0.30564883053302766 7.186144 0.875
41 57.01823463439941 0.29768706560134883 5.3504915 0.4375
42 49.6629301071167 0.2891282841563225 6.7770643 0.8125
43 56.550619506835936 0.2632316127419472 5.8406835 0.78125
44 43.90195159912109 0.30754379034042356 6.1811743 0.71875
45 45.80845069885254 0.25768483728170394 6.752613 0.78125
46 41.41800804138184 0.25991944819688795 5.149317 0.75
47 46.26269798278808 0.2636626243591309 6.0585575 0.6875
48 37.40964488983155 0.257637195289135 5.5998554 0.625
49 43.78299331665038 0.2452939599752426 4.5637436 0.40625
50 43.80692901611329 0.2514748260378838 4.5126076 0.46875
51 45.12162685394287 0.2502110004425048 5.9598446 0.65625
52 40.72668895721435 0.24329200237989426 4.915813 0.75
53 43.519060897827146 0.24211612194776533 4.9764376 0.6875
54 37.93046360015869 0.23409276753664018 4.9386153 0.5625
55 41.41203994750976 0.25616648942232134 5.269498 0.8125
56 54.72964572906494 0.21718002557754518 4.2636795 0.46875
57 58.327096939086914 0.2509540930390358 4.869881 0.78125
58 39.01004085540771 0.27003003358840943 3.679089 0.78125
59 35.743431091308594 0.27515562325716014 4.3621445 0.59375
60 32.99253063201904 0.2185403525829315 5.587298 0.625
61 36.0590030670166 0.22045057266950607 6.1524553 0.75
62 34.334423828125 0.20564679950475692 4.1568775 0.375
63 34.1579216003418 0.20555757731199267 3.913745 0.46875
64 37.929379081726076 0.21887620091438295 5.667651 0.6875
65 36.89977531433105 0.2246610641479492 3.6033638 0.375
66 56.360793876647946 0.20258917063474655 4.4778605 0.46875
67 32.397141456604004 0.1995629400014877 3.9113889 0.5
68 42.20223541259766 0.24790952354669568 3.8676243 0.46875
69 56.39066753387451 0.21742351949214936 3.0585606 0.40625
70 40.61275539398194 0.21434083133935927 4.3867645 0.46875
71 31.050537109374996 0.21145873218774794 3.5254984 0.34375
72 50.52522029876709 0.20230136513710023 4.9087152 0.5
73 45.161661338806155 0.2037210777401924 4.530207 0.34375
74 41.900999641418466 0.21278937608003615 4.2632055 0.5
75 33.38794364929199 0.18392052203416825 4.1175947 0.65625
